Protein IDs	Gene names	Protein names	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	mean_control_log2_LFQ intensity IgG_ChIP_01	mean_control_log2_LFQ intensity IgG_ChIP_02	mean_control_log2_LFQ intensity IgG_ChIP_03	mean_control_log2_LFQ intensity IgG_ChIP_04	mean_treatment_log2_LFQ intensity TRF2_ChIP_01	mean_treatment_log2_LFQ intensity TRF2_ChIP_02	mean_treatment_log2_LFQ intensity TRF2_ChIP_03	mean_treatment_log2_LFQ intensity TRF2_ChIP_04	mean_log2_fold_change	std_log2_fold_change	mean_-log10_pval	std_-1og10_pval
Q15554;H3BR06;Q15554-4;U3KQ35;J3KSZ6;J3KSJ9;V9GYM1;H3BR37	TERF2	Telomeric repeat-binding factor 2	8	54	54	36	79.7	79.7	58.5	59.593000000000004	542	21.21371179810567	17.344729344914992	21.747008987839308	18.62438852695275	33.361367578491148	32.642547152065063	33.21277416993204	33.339500160498623	13.406587600793539	0.1046246066965127	4.8196653539836456	0.17664475272390731
Q9BSI4;B4DFJ1;H0YLC9;H0YL20;Q9BSI4-3;H0YKA6;H0YMN3;H0YL96	TINF2	TERF1-interacting nuclear factor 2	8	28	28	3	62.3	62.3	6	50.023000000000003	451	19.925775635547851	20.633284491866529	21.640414533300682	20.807666086007391	29.86022017860796	29.196620960515631	29.690108275958679	29.861196852348741	8.9002513801771439	0.59131709488332052	5.7285531067440099	0.31392750213572279
P54274;A0A7I2YQE7;P54274-2;E7EWM7;A0A7I2V5I6;A0A7I2V5T5;A0A7I2V5E0;E5RFJ5;A0A7I2V3N9	TERF1	Telomeric repeat-binding factor 1	9	24	24	24	55.8	55.8	55.8	50.244999999999997	439	19.950887425948871	21.888758156944849	21.367895236318759	21.230392720233549	29.977737641400861	29.374387689549661	30.076354253085508	30.13001361077654	8.7801399138416372	0.29975680117000358	5.4664290922446463	0.40279940843763029
Q9NYB0;A0A590UJT3;H3BMI8	TERF2IP	Telomeric repeat-binding factor 2-interacting protein 1	3	39	39	39	77.2	77.2	77.2	44.258999999999993	399	21.17561840985957	22.50710143497497	22.830608819923679	21.222684760815159	30.627318851433191	30.390795245132679	30.714157328819141	30.796683188776711	8.698235297147086	0.91966933705292808	6.4915162755078351	2.579641407359369
A0A590TQL1;Q96AP0;Q96AP0-2;R4GNJ5;R4GMR6	ACD	Adrenocortical dysplasia protein homolog	5	22	22	22	53.9	53.9	53.9	57.732999999999997	544	22.99760608022801	20.383758403802119	21.14118895909008	22.166167009237341	30.12755586735268	29.561890306378771	30.09936302130269	30.400498019936421	8.3751466906532546	0.23703815539065839	4.6075216091034648	0.71976995570665547
A8MUA9;A8MU27;P55854;P55854-2;Q6EEV6	SUMO3	Small ubiquitin-related modifier 3;Small ubiquitin-related modifier 4	5	2	2	1	15.6	15.6	6.7	15.317	135	21.196302371789201	20.520357266039831	21.24946849308489	21.623982409353271	30.011719878938258	28.892584087551899	29.574125748919791	29.364319238259341	8.313159603350524	0.59030610852825982	6.2581913154551101	0.58639019226993983
Q02790;F5H1U3;H0YFG2;F5H120	FKBP4	Peptidyl-prolyl cis-trans isomerase FKBP4;Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed	4	33	33	33	76.5	76.5	76.5	51.803999999999988	459	20.065263601837248	19.02661529383121	21.230814948469771	21.11847527029412	28.776995893033561	28.579422693265698	28.675864238379209	28.641272762464979	8.3080966181777764	0.23240209204483669	5.1874760123837094	0.38485035745845542
O60341;R4GMQ1;O60341-2;R4GMP9	KDM1A	Lysine-specific histone demethylase 1A	4	40	40	40	71	71	71	92.902000000000001	852	22.45344849187142	19.276533377523471	21.418643249375901	20.692938954926809	29.246468979055699	28.60448886879734	29.007234896016641	29.246854014823839	8.0658706712489803	0	4.6468286549235307	0
Q9NUX5;A0A590UJF2;B7Z7M5;Q9NUX5-2;A0A590UJF7;A0A590UJP0;Q5MJ34;A8MTK3;Q5MJ35;C9JPG9;V9GZ00;A0A590UJM4;Q5MJ33;A0A590UJR1	POT1	Protection of telomeres protein 1	14	26	26	26	59.3	59.3	59.3	71.441000000000003	634	21.160770312780699	20.345854796568482	21.074506415453769	21.835552876956989	29.398236470535121	28.552704682598819	29.168491635929861	29.30456418416658	8.001828142867609	0.43898458446737543	5.2592216550823494	0.92127905732991278
Q32Q12;P22392-2;P22392;J3KPD9;E7ERL0;O60361;E5RHP0;F6XY72;C9K028	NME1	Nucleoside diphosphate kinase;Nucleoside diphosphate kinase B;Putative nucleoside diphosphate kinase	9	13	13	6	65.400000000000006	65.400000000000006	24	32.642000000000003	292	21.073235383937519	23.139149115511131	21.561974040806501	21.597174747366171	29.424262992397921	29.912850423381592	29.260737024838729	29.39298662402576	7.6548259442556699	0.16825706448033961	5.1148964271155331	0.38613669484881769
